"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",205.804921921266,1.5068992740131,0.190973439806453,7.89062225375583,3.00683497672556e-15,3.18828191497624e-14
"hsa-let-7a-5p",48364.5572237225,1.32705011102601,0.140292980501283,9.45913406561255,3.10503860580203e-21,4.33999714220057e-20
"hsa-let-7b-3p",27.5153751573466,4.25762059616869,0.72798040346449,5.84853737258104,4.95914229216306e-09,3.38874723297809e-08
"hsa-let-7b-5p",5405.38773726333,3.18865825504319,0.104905425439286,30.3955514377914,6.28919568739119e-203,5.52550763963655e-201
"hsa-let-7c-3p",417.391203734543,0.619294756037165,0.177421641366044,3.4905254582753,0.00048207168085522,0.0019764938915064
"hsa-let-7d-3p",313.436938589471,2.1107573976985,0.224413797818828,9.4056489316336,5.17101198359473e-21,7.1464547638444e-20
"hsa-let-7d-5p",1063.99413609424,1.97845887938757,0.138706774706111,14.263606688134,3.68886020722877e-46,1.00828845664253e-44
"hsa-let-7f-1-3p",5.05430639710091,3.22970435899916,1.21462195358446,2.65902024038673,0.00783682547950688,0.0239188469970061
"hsa-let-7f-5p",199095.660087063,1.1117416183271,0.20925503874125,5.31285471076184,1.07921081135633e-07,6.53906058112458e-07
"hsa-let-7g-5p",129545.115953007,0.692081730522552,0.201882465718766,3.42814185500717,0.000607727814859571,0.00245083676156483
"hsa-let-7i-3p",12.9344122198393,1.74932667867498,0.559741485193375,3.1252403563953,0.00177659830562355,0.00652303258482676
"hsa-let-7i-5p",262889.551131216,1.57292774470368,0.271953342099906,5.78381472556363,7.30253688642924e-09,4.96249744215909e-08
"hsa-miR-1-3p",181439.299068119,7.20074003175297,0.238909091672586,30.1400837504387,1.44681435925183e-199,1.1863877745865e-197
"hsa-miR-100-5p",418957.111914999,0.251944900574751,0.0729938101068667,3.45159267896676,0.00055728832721701,0.00226975047177789
"hsa-miR-101-3p",219759.525440671,-1.41348622498049,0.130860019182181,-10.8015132033005,3.38577058154499e-27,5.47960238855308e-26
"hsa-miR-103a-3p",330213.183314109,-0.805052832272461,0.108282418185757,-7.43475114206822,1.04765006256928e-13,9.40590932087747e-13
"hsa-miR-103b",318474.172958136,-0.798930131654139,0.106477496815595,-7.50327680071013,6.22419237455413e-14,5.67093083014932e-13
"hsa-miR-105-3p",88.1063029045025,-0.762594223323757,0.227394343319856,-3.35362002497609,0.000797618123395237,0.00312442768081574
"hsa-miR-105-5p",575.681240450893,-1.05095676076335,0.105968311774564,-9.91765125973832,3.48868879271259e-23,5.23303318906889e-22
"hsa-miR-106a-3p",53.8552638119975,-2.65136174978411,0.630501701857841,-4.20516192418131,2.60895303583125e-05,0.000123423547464324
"hsa-miR-106a-5p",1090.38443183728,-1.74372670070457,0.217655014535616,-8.01142442973321,1.1338740038656e-15,1.2342168360661e-14
"hsa-miR-106b-3p",18250.4900069034,-0.595473701113387,0.107945288932957,-5.51643992062708,3.45935674429352e-08,2.22775329606337e-07
"hsa-miR-106b-5p",3919.72020796745,-1.28864776592226,0.200945969554764,-6.41290675686364,1.42770850418371e-10,1.10445374851947e-09
"hsa-miR-107",5456.44498534417,-0.765633537805176,0.208949896888452,-3.66419677255888,0.000248115988027438,0.00104873768135309
"hsa-miR-10b-3p",28.2373522534387,5.1157328278661,0.479934295408841,10.6592358095771,1.57889420761726e-26,2.52212970827173e-25
"hsa-miR-10b-5p",33632.2012860933,5.63203257502973,0.179652139174705,31.3496549548613,9.834903639625e-216,1.20969314767388e-213
"hsa-miR-1180-3p",1381.5563875199,-0.326825312536199,0.0714094407429286,-4.57678017270514,4.72187181862774e-06,2.41995930704672e-05
"hsa-miR-1185-2-3p",16.1356661211405,1.66986606328536,0.561344399497281,2.97476213315895,0.00293215816132169,0.0101593085589456
"hsa-miR-1226-3p",72.4003735786968,-0.881434212153651,0.260125396718853,-3.38849732964105,0.000702767131711688,0.00278839861937218
"hsa-miR-124-3p",18061.591810042,-1.40368684818161,0.291468853045215,-4.81590685768355,1.46532867164575e-06,7.83632289619247e-06
"hsa-miR-124-5p",1803.78476454912,-1.34427766808285,0.249438734684907,-5.38920977842898,7.0768161668315e-08,4.39620398242563e-07
"hsa-miR-1245a",2.26730259978212,5.75756239953652,1.9314173160693,2.98100382120108,0.00287305207808492,0.00998263857639677
"hsa-miR-1245b-3p",4.31974414698793,6.74272965014585,1.41263008105405,4.77317433670583,1.81344681708514e-06,9.61439476299448e-06
"hsa-miR-1246",13230.2246574409,-4.06741237695376,0.31636175038513,-12.8568399055897,7.87300054750793e-38,1.82713031574241e-36
"hsa-miR-1247-3p",149.800345926276,1.85499650263047,0.234543080427122,7.90897987377145,2.59506558503229e-15,2.77559188659976e-14
"hsa-miR-1247-5p",24.3687614301826,1.51775080732538,0.38251585112908,3.96781153733995,7.25356583092373e-05,0.000326809009964695
"hsa-miR-1249-5p",11.2229178132841,-2.67103593892677,1.00994874008405,-2.64472426462404,0.00817575092410858,0.0247700501416422
"hsa-miR-1250-5p",267.012074363505,-0.542629567150318,0.193324873384487,-2.80682747983044,0.0050032028935467,0.0163668605294214
"hsa-miR-1251-5p",422.049767880216,-1.42217460056224,0.267933072317278,-5.30794719838894,1.10866745904325e-07,6.68461262070197e-07
"hsa-miR-1252-5p",89.238377361079,-0.701882012090776,0.202903174538666,-3.45919680008271,0.000541788881974546,0.00221395456753718
"hsa-miR-1255a",3.94907578890696,3.89036008565644,1.50439768820157,2.58599180001877,0.0097099240526334,0.0288483250839108
"hsa-miR-125b-5p",73114.2157468612,-0.522902710882373,0.179519124671832,-2.91279668301781,0.00358207745446847,0.0121711471519232
"hsa-miR-1260b",72.1617040567864,2.19955690288233,0.551905999902921,3.98538320523645,6.73713096327251e-05,0.000304657025177397
"hsa-miR-1269b",11.0984665755656,-3.70485155569647,1.33731593309235,-2.77036372933174,0.00559937249038776,0.0179701476867805
"hsa-miR-127-3p",4273.57045761627,1.91091781770222,0.162838908856977,11.7350197880569,8.43066057387916e-32,1.54771828445841e-30
"hsa-miR-127-5p",161.827272467738,1.04439502718023,0.194922880693646,5.35799093191973,8.41524629175836e-08,5.17537646943139e-07
"hsa-miR-1276",30.0479281089264,-1.16019364489386,0.418882551288664,-2.76973495631317,0.00561019244855585,0.0179701476867805
"hsa-miR-128-1-5p",351.342179535991,-0.368379102633709,0.123901707119099,-2.97315598952651,0.00294754610872216,0.0101839373981131
"hsa-miR-128-3p",22262.4101929427,0.496788976059821,0.0707181202781104,7.02491771707334,2.14192437681023e-12,1.82956040519207e-11
"hsa-miR-1287-5p",217.733966486052,0.393233900463237,0.138191294810059,2.84557649599946,0.00443311102123888,0.0147770367374629
"hsa-miR-1288-3p",25.8097252114315,-1.35474039940611,0.488658339356761,-2.77236729693268,0.00556502046322061,0.0179187831669145
"hsa-miR-129-1-3p",413.323150667899,-1.10260230576309,0.258858661783157,-4.25947618738263,2.0490652598098e-05,9.88372654731784e-05
"hsa-miR-129-2-3p",4003.16857785542,-0.895586791256345,0.341843391480868,-2.61987452024934,0.00879621262966184,0.0263886378889855
"hsa-miR-129-5p",126949.096070257,-0.538374495948716,0.146229184128038,-3.68171715625053,0.00023166834427669,0.000985993299170686
"hsa-miR-1296-5p",895.27940733389,-0.651547263049406,0.211906658311546,-3.07468990470086,0.00210721521060595,0.00757858102060034
"hsa-miR-1298-3p",240.996900470153,0.497087518344444,0.154842193955934,3.21028464945356,0.00132603587487217,0.00498784136419807
"hsa-miR-1298-5p",7377.47364802658,1.00291664368502,0.132562328260073,7.5656233324252,3.86009076414962e-14,3.68055165884033e-13
"hsa-miR-1299",214.256653014561,-1.99757543908832,0.289288482813506,-6.90513296506201,5.01564265143742e-12,4.16840571707299e-11
"hsa-miR-1305",65.2835656139746,-1.18987469148786,0.349693981186726,-3.40261701802783,0.000667437667483657,0.00265679071522621
"hsa-miR-130a-3p",2794.99437978645,-1.55242701751079,0.169623240070043,-9.15220707297974,5.57820356164492e-20,7.53976964925632e-19
"hsa-miR-130a-5p",256.430690059658,-1.16234386848649,0.278692627259157,-4.17070189447683,3.03662886635115e-05,0.000143105498299307
"hsa-miR-130b-3p",1264.42910346176,-2.10684377364474,0.163009899298235,-12.924636986556,3.26835538103399e-38,7.73091753590733e-37
"hsa-miR-130b-5p",2700.77389106491,-0.647316076854424,0.184314224742344,-3.51202452094686,0.000444706966019985,0.00183553546377376
"hsa-miR-133a-3p",1695.06679140979,7.06598133511536,0.317670661827906,22.2431032644219,1.31537169812716e-109,6.74127995290168e-108
"hsa-miR-133a-5p",83.8058349458135,7.77851797992022,0.564468186837709,13.7802592976894,3.35066537979821e-43,8.58608003573291e-42
"hsa-miR-133b",813.093127816639,9.93873308709554,0.448243198286449,22.1726355806167,6.31051168880101e-109,3.1047717508901e-107
"hsa-miR-134-5p",461.434352157324,0.578851026870471,0.213336395738053,2.71332523861151,0.00666116931693257,0.0206378797476752
"hsa-miR-135a-2-3p",2558.89132133974,-1.01320418893162,0.235338556205979,-4.3053046864315,1.66756060904563e-05,8.07519507529971e-05
"hsa-miR-135a-3p",3672.6722484786,-1.2297863221865,0.184611189985078,-6.66149393374206,2.71057989539984e-11,2.1934297837775e-10
"hsa-miR-135a-5p",14879.6918935588,-1.63383705616059,0.249308905737529,-6.5534644714244,5.62173129415643e-11,4.46111580116929e-10
"hsa-miR-135b-3p",543.438846808308,-1.80091067916789,0.14158886877409,-12.7192956251476,4.62006058920295e-37,1.03321354994902e-35
"hsa-miR-135b-5p",7522.40736318952,-1.87054038199985,0.219297416827435,-8.5296963779185,1.46732314765928e-17,1.78693809071377e-16
"hsa-miR-136-3p",358.291276466778,1.26330691074174,0.262381294070384,4.8147750593945,1.47365792559349e-06,7.84674999341987e-06
"hsa-miR-136-5p",20.7970865679014,1.26880771840624,0.434972385093466,2.91698453025609,0.00353433301561059,0.0120421872831053
"hsa-miR-137-5p",22.2760523081137,-0.868725002749071,0.338551547413843,-2.56600511616373,0.0102877310760954,0.0302725101042997
"hsa-miR-139-5p",3014.17636480889,-1.11866117606463,0.200368364251983,-5.5830229499593,2.36373539088641e-08,1.54648645254802e-07
"hsa-miR-140-3p",85572.6804918051,4.75453768578031,0.267607519998829,17.7668313872537,1.27703350698486e-70,5.4163834951427e-69
"hsa-miR-140-5p",1752.3729039934,4.53658010759727,0.162925025951122,27.8445872947612,1.25261002886529e-170,8.55950186391279e-169
"hsa-miR-143-3p",8405.16682790439,6.63708815627275,0.446219878234309,14.8740306741504,4.85972666332424e-50,1.39010785950903e-48
"hsa-miR-143-5p",22.4080728976242,7.96949655132826,1.22201428033337,6.52160672717685,6.95581994907445e-11,5.44946403653604e-10
"hsa-miR-145-3p",15.0210502629577,8.47795054023067,1.2259230049764,6.91556525639543,4.6600146377991e-12,3.90027565758774e-11
"hsa-miR-145-5p",81.5497535704363,3.79249820532004,0.71313356830949,5.31807556655943,1.04870516583804e-07,6.38567997020191e-07
"hsa-miR-146b-3p",118.709643184996,1.31437530513646,0.170588843616628,7.70493120927834,1.30913792789034e-14,1.31986856664354e-13
"hsa-miR-146b-5p",3484.52248636218,1.90726248998118,0.142255655859169,13.4072875940296,5.48068968201965e-41,1.32181339389886e-39
"hsa-miR-148a-3p",613533.265771649,2.78983037254506,0.458651346367462,6.08268218253502,1.18188480603568e-09,8.45185064781326e-09
"hsa-miR-148a-5p",794.309263213305,3.00888349534452,0.120494304487826,24.9711677919889,1.25789130447539e-137,7.36764906907013e-136
"hsa-miR-148b-3p",93207.2300740834,-0.569079693019663,0.0984978994523175,-5.77758202138262,7.5781781931774e-09,5.12151603165286e-08
"hsa-miR-149-5p",5018.42412244487,-1.44744705519498,0.114615609308852,-12.6287079388514,1.46666692589327e-36,3.22142914080128e-35
"hsa-miR-152-3p",31207.2924797497,1.29180908723966,0.114349537109311,11.2970206954557,1.35745453738344e-29,2.28721791915291e-28
"hsa-miR-152-5p",121.531031474009,1.91533588108805,0.235002674016499,8.15027271116746,3.63104491748994e-16,4.02359031397534e-15
"hsa-miR-153-3p",1343.01775382059,-1.36169697381536,0.119512731302059,-11.3937398884624,4.49283051658814e-30,7.67525213250473e-29
"hsa-miR-153-5p",27.6985478781702,-1.64000186806315,0.481158475583509,-3.40844430948513,0.000653344195994922,0.00261902858355276
"hsa-miR-154-5p",11.4415097267662,1.99332604771375,0.729186039543918,2.73363166546703,0.00626400735184563,0.0196765821430514
"hsa-miR-155-5p",53.5002411198198,5.16427610554556,0.378077253802352,13.6593144750393,1.77648232477771e-42,4.45933318260527e-41
"hsa-miR-15a-5p",283.738038530109,-0.669929033461905,0.271582349226744,-2.46676205345946,0.0136340924479167,0.0390907545709501
"hsa-miR-15b-3p",243.290484257449,-0.946246620925079,0.287933744722679,-3.286334576159,0.00101500371790844,0.0038892665826398
"hsa-miR-15b-5p",2096.99126441225,-0.889415871069113,0.164512603641603,-5.40636918619767,6.43151606329203e-08,4.01561662834985e-07
"hsa-miR-16-1-3p",42.3236282921156,1.60484999551863,0.392043099102289,4.0935550177862,4.24809217771316e-05,0.000198675033406357
