"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-2-3p",11.0254797403033,2.14144283564562,0.519743568627743,4.12019111905431,3.78558254882533e-05,0.000175674690156426
"hsa-let-7a-3p",205.804921921266,3.46732866305693,0.158204091650495,21.9168077568877,1.79619843920418e-106,2.66735468221821e-104
"hsa-let-7a-5p",48364.5572237225,-0.0231950473428055,0.140306633581289,-0.165316826088391,0.868694615731433,0.920614811319306
"hsa-let-7b-3p",27.5153751573466,4.68755501150176,0.452100854120873,10.368383445364,3.45316838835882e-25,9.11636454526729e-24
"hsa-let-7b-5p",5405.38773726333,1.83812697580949,0.104343273022354,17.6161521731803,1.85180033307446e-69,1.09996939784623e-67
"hsa-let-7c-3p",417.391203734543,3.80489634735463,0.15812602569806,24.0624295118885,6.18713502924638e-128,1.22505273579078e-125
"hsa-let-7c-5p",61154.3576861881,-0.0368908317613668,0.217414910965926,-0.169679400540971,0.865262275123297,0.919819695499005
"hsa-let-7d-3p",313.436938589471,0.490109551241313,0.221988066181263,2.20781936467304,0.0272568676153217,0.070547186769068
"hsa-let-7d-5p",1063.99413609424,-0.174748614558378,0.138950451477322,-1.2576325783792,0.208524665657415,0.357470855412712
"hsa-let-7e-3p",182.548223750926,-0.126806021725179,0.160030842040807,-0.792384893487241,0.428136285057529,0.600892944161746
"hsa-let-7e-5p",12777.0006642661,-1.52237527963865,0.0815940172101389,-18.6579277708303,1.08872041533256e-77,8.62266568943388e-76
"hsa-let-7f-1-3p",5.05430639710091,3.34319598627249,1.08452270634291,3.08264268393789,0.00205171345516617,0.00716892819040416
"hsa-let-7f-2-3p",11.6458946593747,0.801427299350685,0.67958417117706,1.17929070943867,0.238282436441894,0.39426119010163
"hsa-let-7f-5p",199095.660087063,-1.09659462857525,0.209262383075189,-5.24028548495137,1.60328366014417e-07,1.01855667820924e-06
"hsa-let-7g-3p",12.4629089238506,-0.251160260325219,0.507296686839656,-0.495095408349482,0.620532774837764,0.754547529690137
"hsa-let-7g-5p",129545.115953007,-1.00320653675815,0.201890878474826,-4.9690533041256,6.72805743794126e-07,3.89899133476791e-06
"hsa-let-7i-3p",12.9344122198393,0.42160742167159,0.539565388390684,0.78138337028823,0.434577048913294,0.605959547076283
"hsa-let-7i-5p",262889.551131216,-0.51970340698513,0.271957994911578,-1.91096940229355,0.0560085131086612,0.127571879347203
"hsa-miR-1-3p",181439.299068119,-0.723165525934348,0.23934714960574,-3.02140855709194,0.00251601622651201,0.00866384717998918
"hsa-miR-1-5p",0.956059846732034,3.64974033663293,4.56076090367254,0.800248119495585,0.423567055190922,0.599758833810269
"hsa-miR-100-3p",5.21638558650448,3.6756422905956,0.86042227210624,4.27190509794446,1.93810060566652e-05,9.43632589972057e-05
"hsa-miR-100-5p",418957.111914999,0.0106516255518103,0.0729987170212585,0.145915243259801,0.883988298003958,0.926900351305121
"hsa-miR-101-2-5p",0.382580631083131,1.19535384350066,4.47789474704139,0.266945498058088,0.789511124907696,NA
"hsa-miR-101-3p",219759.525440671,-1.14983710948138,0.130857048966288,-8.78697111515641,1.53646266213717e-18,2.4666454629986e-17
"hsa-miR-101-5p",8.79764130889293,-1.00528749890483,0.559216265846663,-1.7976721356322,0.0722289795791257,0.159198567235624
"hsa-miR-10392-3p",0.0296604175699795,0,6.34271925610443,0,1,NA
"hsa-miR-10392-5p",0.631287164161912,-1.04099860038895,2.99807264991853,-0.347222606636046,0.72842408849431,NA
"hsa-miR-10393-3p",0.0420080510756771,0.78474304863844,6.34271925610443,0.123723440523271,0.901534251402917,NA
"hsa-miR-10394-3p",1.70823929214682,1.31386338211964,1.17371998637578,1.11940104741387,0.262969084332112,0.424466402427376
"hsa-miR-10394-5p",1.39360486844667,2.69042168574776,1.44754247557438,1.85861329193827,0.0630819716814359,0.141398834636879
"hsa-miR-10395-3p",139.264558394262,0.67655907156419,0.252565005355427,2.67875223098342,0.00738970522144902,0.0231096165124605
"hsa-miR-10395-5p",0.031571216601174,0.78474304863844,6.34271925610443,0.123723440523271,0.901534251402917,NA
"hsa-miR-10396a-3p",0.198782573188647,2.65502496607079,6.27526330459372,0.423093794985019,0.672226829390328,NA
"hsa-miR-10396a-5p",0.180245009837891,-0.176974799889473,6.34271925606275,-0.027902038974894,0.977740282211083,NA
"hsa-miR-10396b-3p",4.74821267063628,0.683794019512193,0.912650436331124,0.749239788084757,0.453712691788022,0.623592904380336
"hsa-miR-10397-3p",0.0970307403942435,-1.13859882040943,6.34271925610443,-0.179512725447151,0.857535126165617,NA
"hsa-miR-10397-5p",0.0331517171878959,0,6.34271925610443,0,1,NA
"hsa-miR-10399-3p",0.79117463346594,1.4221697649691,4.42324233886817,0.321522009425559,0.747814835855574,NA
"hsa-miR-10399-5p",0.526464276660508,1.65520936798427,3.23763765684811,0.511239843187285,0.609183122582151,NA
"hsa-miR-103a-1-5p",0.317173727374726,-1.61628015429965,6.28971439482916,-0.256971947029648,0.79720042906619,NA
"hsa-miR-103a-2-5p",17.4194676524108,0.185617723692582,0.402289276021736,0.461403608687178,0.644509062946634,0.767211189158919
"hsa-miR-103a-3p",330213.183314109,-1.0141072329727,0.108288559885845,-9.36486027740827,7.61509798336092e-21,1.4830715416775e-19
"hsa-miR-103b",318474.172958136,-0.995035259349167,0.106483635628197,-9.34448991602309,9.23334497306734e-21,1.76922803677484e-19
