"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-2-3p",11.0254797403033,0.284011229825705,0.616420830483517,0.460742427544066,0.644983411461687,0.771189008436317
"hsa-let-7a-3p",205.804921921266,-1.34203753993093,0.241018560342726,-5.56819166964801,2.57396602400115e-08,1.74016532792844e-07
"hsa-let-7a-5p",48364.5572237225,-1.71239278652095,0.140430950035057,-12.1938417855427,3.35236509563407e-34,8.69562456438961e-33
"hsa-let-7b-3p",27.5153751573466,-3.53529302406821,1.375772807794,-2.56967793231567,0.0101793101912279,0.0272951545423011
"hsa-let-7b-5p",5405.38773726333,-3.50936221260175,0.118922683392156,-29.5096117283982,2.16735629762408e-191,6.88677463570053e-189
"hsa-let-7c-3p",417.391203734543,0.324244622995278,0.175302168743844,1.84963269603967,0.0643665070080964,0.137264816119615
"hsa-let-7c-5p",61154.3576861881,-1.41028549700926,0.217437383862245,-6.48593848932037,8.81811393564085e-11,7.52202873301981e-10
"hsa-let-7d-3p",313.436938589471,-1.27155895992586,0.239084781947118,-5.31844373184368,1.04658575465855e-07,6.65105247085509e-07
"hsa-let-7d-5p",1063.99413609424,-2.09875307706142,0.149125134248205,-14.0737715854675,5.5053212015155e-45,1.89115222895303e-43
"hsa-let-7e-3p",182.548223750926,-0.83370322728029,0.167110475042703,-4.98893457796257,6.0713201873716e-07,3.42962131473303e-06
"hsa-let-7e-5p",12777.0006642661,-1.35010601661518,0.0815559932919861,-16.5543445934322,1.4895468802518e-61,9.01530516571444e-60
"hsa-let-7f-1-3p",5.05430639710091,0.424073695628908,1.33399936510801,0.317896474856695,0.750563466666075,0.854043120978139
"hsa-let-7f-2-3p",11.6458946593747,-1.17295932796985,0.761549760238279,-1.54022677074029,0.123505086556403,0.233907223252776
"hsa-let-7f-5p",199095.660087063,-2.25960070200811,0.209282464059732,-10.7968945805378,3.56042392792276e-27,6.75417733192512e-26
"hsa-let-7g-3p",12.4629089238506,-1.3420486021782,0.554989800744548,-2.41815002794245,0.0155996435205468,0.0400548422517473
"hsa-let-7g-5p",129545.115953007,-1.92979071226484,0.201912797107182,-9.55754533597214,1.20582685731937e-21,1.99039731902977e-20
"hsa-let-7i-3p",12.9344122198393,-1.12711397159244,0.651927163238627,-1.7288955502225,0.0838277906153726,0.168317728076048
"hsa-let-7i-5p",262889.551131216,-2.29212197664104,0.271972167057544,-8.42778142131019,3.52280299298019e-17,4.47748260407783e-16
