"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-2-3p",11.0254797403033,-0.259643613954047,0.583961098810531,-0.44462484655727,0.656590888547048,0.760263134107108
"hsa-let-7a-3p",205.804921921266,-2.30970141918567,0.227279235810508,-10.1623952181508,2.91817783302721e-24,4.6223936875151e-23
"hsa-let-7a-5p",48364.5572237225,-2.00268677456226,0.140422955442624,-14.2618190042336,3.78459500877672e-46,1.21516185687209e-44
"hsa-let-7b-3p",27.5153751573466,-5.51236375513935,1.26015739271129,-4.37434544845167,1.21797376628259e-05,5.04164750642409e-05
"hsa-let-7b-5p",5405.38773726333,-4.25243978479662,0.11837280349313,-35.9241283412149,1.28341410032029e-282,3.81173987795127e-280
"hsa-let-7c-3p",417.391203734543,-0.162635487049233,0.170486102550352,-0.953951580899087,0.340108152060132,0.475911053766121
"hsa-let-7c-5p",61154.3576861881,-1.29701997768635,0.217441174745358,-5.96492352106386,2.44748650130239e-09,1.49108408387038e-08
"hsa-let-7d-3p",313.436938589471,-2.07507191863665,0.235684055064594,-8.80446459590972,1.3147868915021e-18,1.42494316725454e-17
"hsa-let-7d-5p",1063.99413609424,-2.75983060127396,0.14805867411864,-18.6401142499931,1.51916004965667e-77,1.0026456327734e-75
"hsa-let-7e-3p",182.548223750926,-1.04460251498739,0.166173468104356,-6.28621720966541,3.25294733806496e-10,2.12335243825339e-09
"hsa-let-7e-5p",12777.0006642661,-1.60986994016225,0.0815251872940669,-19.7469026885561,8.52910071957093e-87,7.79428588834636e-85
"hsa-let-7f-1-3p",5.05430639710091,-0.366691136799334,1.23476583078622,-0.296972209350698,0.766487726245101,0.850221679532381
"hsa-let-7f-2-3p",11.6458946593747,-1.66479044139693,0.749835255824612,-2.22020827703829,0.0264046327194117,0.0596363187655153
"hsa-let-7f-5p",199095.660087063,-2.62226786453873,0.209281067703735,-12.5298857336245,5.12364432010297e-36,1.26810196922549e-34
"hsa-let-7g-3p",12.4629089238506,-1.58865092490673,0.5508636218668,-2.88392782141433,0.00392748761299448,0.011135692802476
"hsa-let-7g-5p",129545.115953007,-2.26839763028564,0.201910803822002,-11.234652070849,2.75577335374454e-29,5.19660118134684e-28
"hsa-let-7i-3p",12.9344122198393,-1.86221132275218,0.628616910788572,-2.96239456939859,0.00305256330113936,0.00882346764416924
"hsa-let-7i-5p",262889.551131216,-2.39446243027633,0.271972141574229,-8.80407241865549,1.31939182153198e-18,1.42494316725454e-17
"hsa-miR-1-3p",181439.299068119,-1.77690281475681,0.239617642339562,-7.41557590420974,1.21097425282691e-13,1.00604014850236e-12
"hsa-miR-1-5p",0.956059846732034,0,4.6820071377074,0,1,1
"hsa-miR-100-3p",5.21638558650448,1.77440337469821,0.902089040389742,1.96699360623158,0.049183947895734,0.10109088252618
"hsa-miR-100-5p",418957.111914999,0.265369141289948,0.0729942325271014,3.63548094284602,0.000277462505876858,0.000955436107193354
"hsa-miR-101-2-5p",0.382580631083131,-1.43359809786596,4.54810832896895,-0.31520755315671,0.75260407108084,NA
"hsa-miR-101-3p",219759.525440671,-1.63781279027448,0.130860165949024,-12.5157474652178,6.1228761804397e-36,1.45479538047247e-34
"hsa-miR-101-5p",8.79764130889293,-2.28118058628975,0.619499739306239,-3.68229466705568,0.000231144021496951,0.000798253190518539
"hsa-miR-10392-3p",0.0296604175699795,0,6.34335724256334,0,1,NA
"hsa-miR-10392-5p",0.631287164161912,-0.085812366835592,2.90463471226212,-0.0295432559809773,0.976431320699619,NA
"hsa-miR-10393-3p",0.0420080510756771,0,6.34335724256334,0,1,NA
"hsa-miR-10394-3p",1.70823929214682,0.266879333483182,1.22681528628524,0.217538317680475,0.827788848699559,0.896456838883388
"hsa-miR-10394-5p",1.39360486844667,0.878201580162081,1.53298147988005,0.572871617621108,0.566731623184919,0.684000802174123
"hsa-miR-10395-3p",139.264558394262,-2.26921263727757,0.27362512705739,-8.29314420675126,1.10293492149199e-16,1.03172180057676e-15
"hsa-miR-10395-5p",0.031571216601174,0,6.34335724256334,0,1,NA
"hsa-miR-10396a-3p",0.198782573188647,0,6.34335724256334,0,1,NA
"hsa-miR-10396a-5p",0.180245009837891,-1.43358408179983,6.34335724256334,-0.22599768970611,0.821203217196866,NA
"hsa-miR-10396b-3p",4.74821267063628,-1.91887727181641,1.02764709914107,-1.86725313915667,0.0618662460231199,0.121885738433609
"hsa-miR-10397-3p",0.0970307403942435,-1.43358408179984,6.34335724256334,-0.22599768970611,0.821203217196866,NA
"hsa-miR-10397-5p",0.0331517171878959,0,6.34335724256334,0,1,NA
"hsa-miR-10399-3p",0.79117463346594,2.43400854582194,4.34203450462882,0.560568678859454,0.575091608416125,NA
"hsa-miR-10399-5p",0.526464276660508,3.17074094617281,3.11928597986052,1.0164957514779,0.309393369623109,NA
