"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-2-3p",11.0254797403033,-0.0606219607841947,0.547570687343376,-0.110710748740608,0.911845722120018,0.948874990023369
"hsa-let-7a-3p",205.804921921266,1.68850475978922,0.195913847491773,8.61860854353404,6.77726174685547e-18,5.78891107543904e-17
"hsa-let-7a-5p",48364.5572237225,2.11742296279191,0.140341163395167,15.0876828406343,1.95177112519449e-51,3.87206207095035e-50
"hsa-let-7b-3p",27.5153751573466,7.41169395738306,1.22412140864594,6.05470495412826,1.406752628159e-09,7.72457916355167e-09
"hsa-let-7b-5p",5405.38773726333,5.47422668394802,0.111439248078105,49.1229685982024,0,0
"hsa-let-7c-3p",417.391203734543,0.496873388712415,0.175927857021937,2.82430194469122,0.00473837228669077,0.014010091136129
"hsa-let-7c-5p",61154.3576861881,0.644963181156638,0.217423084334393,2.96639698186185,0.0030131128587087,0.00920232689704433
"hsa-let-7d-3p",313.436938589471,3.09118532383789,0.233431257430967,13.2423796104172,4.9941028925292e-40,7.87531609975759e-39
"hsa-let-7d-5p",1063.99413609424,2.65055656814587,0.140856006275064,18.8174905581935,5.42959389893611e-79,1.62887816968083e-77
"hsa-let-7e-3p",182.548223750926,0.0953091647589932,0.167361073254745,0.569482275092251,0.569028896101777,0.702011576935994
"hsa-let-7e-5p",12777.0006642661,0.762684100302508,0.0814965669483248,9.35848133070574,8.08909705341802e-21,7.95967150056333e-20
"hsa-let-7f-1-3p",5.05430639710091,4.75075292067445,1.4808265437469,3.20817650165408,0.00133579492376949,0.00435067191838125
"hsa-let-7f-2-3p",11.6458946593747,0.421345836521228,0.733499713571043,0.574432175944426,0.565675384711672,0.701152580143123
"hsa-let-7f-5p",199095.660087063,2.13024261837884,0.209263815855006,10.1796988154648,2.44316378921623e-24,2.75696464287703e-23
"hsa-let-7g-3p",12.4629089238506,0.26478204409409,0.548443931418047,0.482787809155759,0.629246407644833,0.746357841275936
"hsa-let-7g-5p",129545.115953007,1.15940276101716,0.201887706508071,5.74281010503636,9.31181338799314e-09,4.85319087594558e-08
"hsa-let-7i-3p",12.9344122198393,2.99274643172002,0.653643637950123,4.57855971964402,4.68188501167577e-06,1.99263618143986e-05
"hsa-let-7i-5p",262889.551131216,2.19379360684305,0.271956342224392,8.06671243222174,7.22163751133869e-16,5.84382509141223e-15
"hsa-miR-1-3p",181439.299068119,8.46667188027286,0.239152120805268,35.40287182804,1.5422896244873e-274,1.45924326009183e-272
"hsa-miR-1-5p",0.956059846732034,4.63824731796067,4.55019711173056,1.01935085537352,0.308036428534406,0.466032973059434
"hsa-miR-100-3p",5.21638558650448,-2.26907846721255,1.00029529784649,-2.26840861103474,0.0233043134191053,0.0567610010009892
"hsa-miR-100-5p",418957.111914999,-0.385401238762105,0.0729888818150264,-5.28027323036427,1.28991383235144e-07,6.22193730898929e-07
"hsa-miR-101-2-5p",0.382580631083131,0.0381454057620336,4.49797443356445,0.00848057416186892,0.993233561916792,NA
"hsa-miR-101-3p",219759.525440671,-0.675606170794507,0.13086500877951,-5.16261892384702,2.43518566006561e-07,1.15647813200027e-06
"hsa-miR-101-5p",8.79764130889293,-0.377047291698646,0.634598337553412,-0.594151086421513,0.552411064760021,0.689113194376091
"hsa-miR-10392-3p",0.0296604175699795,0,6.34335724256334,0,1,NA
"hsa-miR-10392-5p",0.631287164161912,-0.310412623001153,2.90689591235365,-0.106784911589703,0.914959617832121,NA
"hsa-miR-10393-3p",0.0420080510756771,0,6.34335724256334,0,1,NA
"hsa-miR-10394-3p",1.70823929214682,-0.517391529994794,1.34470909144924,-0.384760936982425,0.700414542948119,0.798316304414421
"hsa-miR-10394-5p",1.39360486844667,-0.804176551463831,1.93346941027424,-0.415924114025558,0.677465533487393,0.78120409499522
"hsa-miR-10395-3p",139.264558394262,0.544044630217971,0.268043928794236,2.02968458440858,0.042388610853224,0.0960184002752589
"hsa-miR-10395-5p",0.031571216601174,0,6.34335724256334,0,1,NA
"hsa-miR-10396a-3p",0.198782573188647,0,6.34335724256334,0,1,NA
"hsa-miR-10396a-5p",0.180245009837891,0,6.34335724256334,0,1,NA
"hsa-miR-10396b-3p",4.74821267063628,1.01730280699839,1.0189986548699,0.998335770255042,0.318116567793705,0.47659363993454
"hsa-miR-10397-3p",0.0970307403942435,0,6.34335724256334,0,1,NA
"hsa-miR-10397-5p",0.0331517171878959,0,6.34335724256334,0,1,NA
"hsa-miR-10399-3p",0.79117463346594,0,4.44035265562305,0,1,1
"hsa-miR-10399-5p",0.526464276660508,0,3.28686134954212,0,1,NA
"hsa-miR-103a-1-5p",0.317173727374726,-0.804161874941019,6.34335724256334,-0.126772282277461,0.899120634243037,NA
"hsa-miR-103a-2-5p",17.4194676524108,-2.18003808259024,0.579461871754542,-3.76217692458236,0.000168440820457404,0.000620306015456907
"hsa-miR-103a-3p",330213.183314109,-0.428778824740871,0.108284674843609,-3.95973691900665,7.50323747093774e-05,0.000289309783362176
"hsa-miR-103b",318474.172958136,-0.439555001256705,0.106479785006341,-4.12806056314378,3.65835771508486e-05,0.000145623947882019
"hsa-miR-10401-3p",2.03185077542761,0.130790340101695,1.81464088532928,0.0720750541658617,0.942542178473801,0.970043045819279
"hsa-miR-10401-5p",0.159473215829522,0,6.34335724256334,0,1,NA
"hsa-miR-105-3p",88.1063029045025,-0.186879039163792,0.233562388707086,-0.8001247127086,0.423638544334972,0.575138421117016
"hsa-miR-105-5p",575.681240450893,-0.0862419765856026,0.109156489406794,-0.790076495261812,0.429483095866008,0.581148743581066
"hsa-miR-10522-5p",0.604369820269917,-0.804170285815322,4.39555043865832,-0.182950985783884,0.854836477089489,NA
"hsa-miR-10527-5p",6.64054206030967,-0.125967386115743,0.691507500763632,-0.182163441432866,0.855454462433584,0.912845302143885
"hsa-miR-106a-3p",53.8552638119975,-4.97352836283198,0.606110083430557,-8.20565190844876,2.29343004096796e-16,1.88061263359373e-15
"hsa-miR-106a-5p",1090.38443183728,-3.92674107487622,0.213183261304933,-18.4195562580285,9.15509353151344e-76,2.50239223194701e-74
"hsa-miR-106b-3p",18250.4900069034,-1.74296191985744,0.107812741923056,-16.1665670380721,8.68023536788316e-59,1.87310342149058e-57
"hsa-miR-106b-5p",3919.72020796745,-2.26289737454797,0.200675085375275,-11.2764241276699,1.71579458674007e-29,2.13174478958615e-28
"hsa-miR-107",5456.44498534417,-1.1147778098485,0.20888763227428,-5.33673438542661,9.46355149949098e-08,4.60085705311222e-07
"hsa-miR-10a-3p",1.36890680926195,5.21620844760399,2.52762876301896,2.06367664584329,0.0390483850869573,0.0897747918821635
"hsa-miR-10a-5p",270.994725994579,7.0738679610871,1.18894701697361,5.94969150020932,2.68648358185157e-09,1.43668469812062e-08
"hsa-miR-10b-3p",28.2373522534387,8.68794713334494,1.20694181757056,7.19831478772759,6.09612787423571e-13,4.1426725333204e-12
"hsa-miR-10b-5p",33632.2012860933,7.20016916222219,0.180891505729494,39.8037991512402,0,0
"hsa-miR-11399",0.499261202617086,0.845459227342123,3.35944934949108,0.251666014095494,0.801299228436278,NA
"hsa-miR-11400",0.0876030237918841,0,6.34335724256334,0,1,NA
"hsa-miR-11401",0.640756220292768,-1.57712556538637,2.21092032981385,-0.713334417400361,0.475638844878996,NA
"hsa-miR-1178-3p",0.272668463640817,0,6.34335724256334,0,1,NA
"hsa-miR-1179",28.4204693351709,0.71924899888887,0.413161798525047,1.74084100092634,0.0817114528170283,0.164158822085738
"hsa-miR-1180-3p",1381.5563875199,-0.0492366046590523,0.0721221845657073,-0.68268321260007,0.494807039801831,0.641996475692249
"hsa-miR-1180-5p",0.166678571258147,-1.55351505222785,6.32295121717709,-0.245694612985078,0.805918642615695,NA
"hsa-miR-1184",0.0445636132164963,0,6.34335724256334,0,1,NA
"hsa-miR-1185-1-3p",24.5234095401692,0.658256081063752,0.448767980321815,1.46680714740769,0.142428524830718,0.259645214208681
"hsa-miR-1185-2-3p",16.1356661211405,0.257593180006474,0.471540869222147,0.546279647894358,0.584873723930025,0.711877863101442
"hsa-miR-1185-5p",2.13094870570957,0.0339016569898028,1.12810322233567,0.0300519104267882,0.976025653310095,0.988889253353721
"hsa-miR-1193",0.448074819014517,2.28363567769192,6.26886795839418,0.364281987250037,0.71564744927092,NA
"hsa-miR-1197",67.0247931115011,-1.39953387425449,0.36212677892328,-3.86476216538241,0.000111197497626021,0.000422138648395079
"hsa-miR-12114",0.207125119935799,1.11939281118272,6.34335724256334,0.1764669351541,0.859927122942561,NA
"hsa-miR-12119",0.0257509426746809,0,6.34335724256334,0,1,NA
"hsa-miR-12125",0.475520055886936,0,3.00824640879196,0,1,NA
"hsa-miR-12129",0.534259586147051,-2.16264842513357,2.26389254991221,-0.955278741129931,0.339436755231011,NA
"hsa-miR-12132",0.141072141235274,0,6.34335724256334,0,1,NA
"hsa-miR-12136",137.919074304359,1.80198400704079,0.368415313552348,4.89117563997445,1.00235467994055e-06,4.58325745846424e-06
"hsa-miR-122-3p",2.88055884443898,-1.05203968248739,1.21560015142277,-0.865448791904191,0.386792510699864,0.541245492788206
