"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-2-3p",11.0254797403033,-0.330851066797273,0.572469714523329,-0.577936366594971,0.563307081559097,0.755992017370403
"hsa-let-7a-3p",205.804921921266,-0.0768887573919255,0.170985654883775,-0.44967957951905,0.652941497674872,0.818245219142435
"hsa-let-7a-5p",48364.5572237225,0.300066179772105,0.140283261737299,2.13900201674826,0.0324355050401163,0.0969961417283404
"hsa-let-7b-3p",27.5153751573466,0.401257641796603,0.501038243929616,0.800852323466491,0.423217143729737,0.627447452977281
"hsa-let-7b-5p",5405.38773726333,0.825326439306158,0.104438011432159,7.90254839199307,2.7325819233001e-15,4.6850557814e-14
"hsa-let-7c-3p",417.391203734543,0.120428620484282,0.166078216786949,0.725131945743205,0.468371087918087,0.666503971160545
"hsa-let-7c-5p",61154.3576861881,0.199648926593673,0.217403773220775,0.918332389709395,0.358444875103864,0.562735539802725
"hsa-let-7d-3p",313.436938589471,0.472157375867105,0.220799160067308,2.13840204701492,0.0324841264866314,0.0969961417283404
"hsa-let-7d-5p",1063.99413609424,-0.0776175369756323,0.138046968277029,-0.56225455686844,0.573942595125878,0.761674130610247
"hsa-let-7e-3p",182.548223750926,0.0177583137763264,0.155396076624718,0.114277748589579,0.909017620983474,0.965320410694738
"hsa-let-7e-5p",12777.0006642661,-0.418888084776939,0.0811429980184313,-5.1623441948964,2.43876338158992e-07,2.37835364644962e-06
"hsa-let-7f-1-3p",5.05430639710091,0.413170932779034,1.15028187780459,0.359191030260866,0.719452186328015,0.853005013311135
"hsa-let-7f-2-3p",11.6458946593747,-1.16311883951996,0.712181306755948,-1.63317799622974,0.102431566344532,0.2336582725842
"hsa-let-7f-5p",199095.660087063,-0.310645061270784,0.209254395318026,-1.4845330287981,0.13766756755375,0.292242114831903
"hsa-let-7g-3p",12.4629089238506,-1.64963746002775,0.538331519667219,-3.06435235493457,0.00218141819109208,0.00942620950053206
"hsa-let-7g-5p",129545.115953007,-0.346311254969141,0.201879719266151,-1.71543360684278,0.0862657582830414,0.206532660033498
"hsa-let-7i-3p",12.9344122198393,0.364177621970495,0.529277374921651,0.688065727397481,0.491411391758059,0.686426162206067
"hsa-let-7i-5p",262889.551131216,-0.198662719228333,0.271954905572014,-0.730498752396017,0.465085375300613,0.665297070720029
"hsa-miR-1-3p",181439.299068119,3.80120497539616,0.238996474031002,15.90485797252,5.86361315356401e-57,3.66648281308149e-55
"hsa-miR-1-5p",0.956059846732034,0,4.6820071377074,0,1,NA
"hsa-miR-100-3p",5.21638558650448,-0.499518686218609,1.06357838856363,-0.469658552288949,0.638598984675076,0.811592535381968
"hsa-miR-100-5p",418957.111914999,0.438528347575091,0.072990991609149,6.00797903833552,1.87850120821762e-09,2.10194398351087e-08
"hsa-miR-101-2-5p",0.382580631083131,-1.73704442975464,4.54810832896895,-0.381926793319899,0.702515665887518,NA
"hsa-miR-101-3p",219759.525440671,-0.800662508228746,0.13084895868963,-6.11898265180615,9.41746552798381e-10,1.10008416002712e-08
"hsa-miR-101-5p",8.79764130889293,-1.85695552054833,0.5718419060914,-3.24732325624894,0.00116495994108888,0.00540765247763094
"hsa-miR-10392-3p",0.0296604175699795,0,6.34335724256334,0,1,NA
"hsa-miR-10392-5p",0.631287164161912,-0.0405385907582261,2.8722445846683,-0.0141139062371694,0.988739105988075,NA
"hsa-miR-10393-3p",0.0420080510756771,0,6.34335724256334,0,1,NA
"hsa-miR-10394-3p",1.70823929214682,0.193782469113201,1.20798796849005,0.160417548988856,0.872552166541389,0.94706405595683
"hsa-miR-10394-5p",1.39360486844667,-0.357689039508186,1.64338751077081,-0.21765349752501,0.827699098573705,0.920339060443356
"hsa-miR-10395-3p",139.264558394262,-1.8042427930986,0.263455126300502,-6.84838749746189,7.4687035082971e-12,1.01785023452818e-10
"hsa-miR-10395-5p",0.031571216601174,0,6.34335724256334,0,1,NA
"hsa-miR-10396a-3p",0.198782573188647,0,6.34335724256334,0,1,NA
"hsa-miR-10396a-5p",0.180245009837891,-1.73702744694082,6.34335724256334,-0.273834088246762,0.784212125871346,NA
"hsa-miR-10396b-3p",4.74821267063628,-0.994513977148845,0.946837134370371,-1.05035379480567,0.293555480750112,0.497686564652902
"hsa-miR-10397-3p",0.0970307403942435,-1.73702744694083,6.34335724256334,-0.273834088246762,0.784212125871346,NA
"hsa-miR-10397-5p",0.0331517171878959,0.186527239182909,6.34335724256334,0.0294051291847995,0.976541482077103,NA
