"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7c-3p",417.391203734543,0.628729870479673,0.173038459308685,3.63346895823937,0.000279636103105401,0.00111271866027357
"hsa-let-7e-5p",12777.0006642661,-0.294436570926679,0.0812547802699074,-3.62362152661833,0.000290506611468049,0.00114013896144652
"hsa-let-7f-2-3p",11.6458946593747,-2.66564871952427,0.90070254950256,-2.95952167671387,0.00308117024613855,0.00954330027587777
"hsa-let-7f-5p",199095.660087063,-0.769322364133306,0.209262104021585,-3.67635777978201,0.000236587654000742,0.000954681167200176
"hsa-let-7g-5p",129545.115953007,-0.619555537509072,0.201889459808569,-3.0687859489868,0.00214930527945137,0.00695792048093577
"hsa-let-7i-3p",12.9344122198393,-2.53550549599703,0.809479922692572,-3.13226483439291,0.00173463328198547,0.00564741403737316
"hsa-let-7i-5p",262889.551131216,-0.659727577252118,0.271958098609763,-2.42584273321741,0.0152728870340456,0.0401438728004959
"hsa-miR-1-3p",181439.299068119,2.83796102877808,0.238926762263566,11.8779537373359,1.54093380850711e-32,3.7572556267003e-31
"hsa-miR-100-5p",418957.111914999,0.602657222846514,0.0729879231047409,8.25694439861886,1.49448999440173e-16,1.78404743081707e-15
"hsa-miR-101-3p",219759.525440671,-1.89779423511052,0.130860112996288,-14.5024652023979,1.16875783315751e-47,5.58081865332709e-46
"hsa-miR-101-5p",8.79764130889293,-2.77144135427726,0.744085261409059,-3.72462874621255,0.000195602867488443,0.000797725573458207
"hsa-miR-10395-3p",139.264558394262,-2.28202132579163,0.276436175196185,-8.25514722945394,1.51715100091551e-16,1.79242788355585e-15
"hsa-miR-103a-3p",330213.183314109,-1.00988494565542,0.108280041900288,-9.32660283402356,1.09318598485084e-20,1.64840939294613e-19
"hsa-miR-103b",318474.172958136,-0.993188777237262,0.106474888674092,-9.32791562034222,1.07973319946729e-20,1.64840939294613e-19
"hsa-miR-105-3p",88.1063029045025,-1.4766135899741,0.23083465026593,-6.39684548343579,1.58619694415612e-10,1.28012795634008e-09
"hsa-miR-105-5p",575.681240450893,-1.2671776185709,0.104583389755488,-12.1164328440063,8.6440170914551e-34,2.25137354245626e-32
"hsa-miR-106a-3p",53.8552638119975,1.24173732111942,0.381797703152501,3.25234361251103,0.00114457561673387,0.00390382040707444
"hsa-miR-106a-5p",1090.38443183728,1.775374805156,0.196612847791178,9.02980057051826,1.71984937527657e-19,2.3746354024903e-18
"hsa-miR-106b-3p",18250.4900069034,0.728813418018359,0.107647905901636,6.77034459624618,1.28476018609352e-11,1.10701892726554e-10
"hsa-miR-107",5456.44498534417,-0.589808953841581,0.208733611657327,-2.8256539479126,0.00471842084073406,0.0140449617752759
"hsa-miR-10b-3p",28.2373522534387,1.95881968069641,0.507496394160689,3.85977063725932,0.000113493500193649,0.000481716856377488
"hsa-miR-10b-5p",33632.2012860933,3.29850173804719,0.179688784731233,18.3567479905932,2.91552253725494e-75,3.03744438881287e-73
"hsa-miR-1179",28.4204693351709,-1.50996390467664,0.400411191646867,-3.77103321829307,0.000162573027942411,0.000665388178650009
"hsa-miR-1180-3p",1381.5563875199,-0.566324057736897,0.0706773586321999,-8.01280733599579,1.12119208979334e-15,1.20082816346091e-14
"hsa-miR-1185-1-3p",24.5234095401692,1.81306041471993,0.444703278642576,4.07701157557048,4.56182225681494e-05,0.000205013659070977
"hsa-miR-1185-2-3p",16.1356661211405,2.41353805602595,0.533514842029212,4.52384426053849,6.07264162010567e-06,3.13479607956806e-05
"hsa-miR-1197",67.0247931115011,1.64537765332862,0.3488581983179,4.71646549016817,2.39977048830807e-06,1.35474728059165e-05
"hsa-miR-12136",137.919074304359,-1.86196708441183,0.36448087430769,-5.1085453741531,3.24648448059537e-07,2.01106552149313e-06
"hsa-miR-1224-5p",71.7457446401223,-2.6521513232588,0.272746390858698,-9.72387321023363,2.38531602056038e-22,3.90510308508885e-21
"hsa-miR-124-3p",18061.591810042,-3.0797764908522,0.291607856089912,-10.5613632367387,4.50077393513133e-26,8.18712211057223e-25
"hsa-miR-1245b-3p",4.31974414698793,5.02993578683619,1.43096953421236,3.51505442050153,0.000439663881370745,0.00166288715528341
"hsa-miR-1246",13230.2246574409,-2.55009777426058,0.315273646604059,-8.08852183405977,6.03931622993519e-16,6.65486192260166e-15
"hsa-miR-1247-3p",149.800345926276,2.85485948941111,0.226363166035585,12.611855274026,1.81665501030121e-36,4.95687295667901e-35
"hsa-miR-1247-5p",24.3687614301826,2.05350804217347,0.367370354544045,5.58974891896802,2.27398176453279e-08,1.53293123656151e-07
"hsa-miR-1250-5p",267.012074363505,0.660225125631773,0.183035274052359,3.60709228890443,0.000309647548560316,0.00121111293737243
"hsa-miR-1251-5p",422.049767880216,-0.792837849051582,0.264510458108923,-2.99737807994381,0.00272312758082244,0.00857336320775418
"hsa-miR-1252-5p",89.238377361079,-1.42159116578083,0.206383159066475,-6.88811612445054,5.6536054211396e-12,4.98387062509691e-11
"hsa-miR-1255a",3.94907578890696,6.22535061266383,1.42078165089154,4.38163781799789,1.17790498421595e-05,5.8436325190973e-05
"hsa-miR-125a-3p",182.976389908318,-0.410740109756586,0.175638335029448,-2.33855615681918,0.0193584161169401,0.0495195197991371
"hsa-miR-125b-1-3p",1866.5934418669,-0.417849277149621,0.165715000309434,-2.52149338544721,0.0116857872474205,0.0315103816130444
"hsa-miR-125b-2-3p",7284.00576727313,-0.661849218113386,0.134441590896604,-4.9229499122961,8.5249277891939e-07,5.01573617325423e-06
"hsa-miR-125b-5p",73114.2157468612,-1.33783155867967,0.179526799305127,-7.45198802550849,9.19440729186919e-14,8.92948369193397e-13
"hsa-miR-126-3p",1950.51616780032,-1.60424388365526,0.0811530551062118,-19.7681268013342,5.60175204394293e-87,6.4196078423586e-85
"hsa-miR-126-5p",54.017279471059,-1.73745642712347,0.398202799188921,-4.36324513705681,1.28147211954307e-05,6.30970413056505e-05
"hsa-miR-1266-5p",14.8296226290509,1.93004573806755,0.71495411176127,2.6995379232283,0.00694358415964008,0.0198437592193205
"hsa-miR-1269a",266.561320306191,4.25117855171732,0.364766669291114,11.6545148162222,2.17616389952708e-31,5.08955883440414e-30
"hsa-miR-1269b",11.0984665755656,-3.26518821638838,1.33731593309235,-2.4415982308968,0.0146224096596986,0.038700419099341
"hsa-miR-127-3p",4273.57045761627,2.66170742185733,0.162608313385215,16.3688274384337,3.19306608816317e-60,1.82962686851749e-58
